编程语言,流行度百分比,平均年薪(美元),学习难度,就业机会,主要用途
JavaScript,67.8,68000,中等,非常高,Web开发
Python,63.9,75000,简单,高,数据科学/AI/Web
Java,30.4,72000,中等,高,企业应用/安卓
TypeScript,38.5,80000,中等,高,Web开发/前端
C#,27.4,70000,中等,高,游戏开发/.NET
C++,23.5,78000,困难,中等,系统编程/游戏
PHP,21.2,55000,简单,中等,Web后端/WordPress
Go,18.3,85000,中等,中等,云计算/后端
Rust,13.2,90000,困难,低,系统编程/区块链
Swift,11.5,75000,中等,中等,iOS开发
Kotlin,9.2,73000,中等,中等,安卓开发
Ruby,5.8,65000,简单,低,Web开发/Rails
Swift,11.5,75000,中等,中等,iOS开发
Dart,7.1,68000,简单,低,Flutter/跨平台
R,4.5,70000,中等,低,数据统计/分析
Scala,2.8,85000,困难,低,大数据/并发编程
Lua,1.9,60000,简单,低,游戏开发/嵌入式
Haskell,1.2,80000,困难,低,学术研究/函数式编程
